address,zip,town,suspected_lead,psl_materials,psl_other,service_line,csl_other
10 GARDINER PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 GARFIELD PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 GEORGE STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 GLENRIDGE PKWY,07042,MONTCLAIR,N,C,NA,C,NA
10 GLENWOOD ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 GODFREY ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 GREENVIEW WAY,07043,MONTCLAIR,N,C,NA,C,NA
10 GRENADA PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 GROVE TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
10 GLENRIDGE PARKWAY,07042,MONTCLAIR,N,C,NA,C,NA
10 GRAHAM TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
10 GRAY STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 HAMILTON TERRACE,07043,MONTCLAIR,N,C,NA,C,NA
10 HARRISON AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 HARTLEY STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 HAWTHORNE PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 HELLER DRIVE,07043,MONTCLAIR,N,C,NA,C,NA
10 HIGH TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
10 HIGHLAND AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
10 HILLTOP PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 HITCHCOCK PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 HOLLAND TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
10 HOLLYWOOD AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 HOMEWOOD WAY,07042,MONTCLAIR,N,C,NA,C,NA
10 HOWE AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 INWOOD TERRACE,07043,MONTCLAIR,N,C,NA,C,NA
10 JAMES STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 JEFFERSON PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 JEFFERSON PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 JEFFERSON PLACE 1ST,07042,MONTCLAIR,N,C,NA,C,NA
10 KENNETH ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 KIPS RIDGE,07044,MONTCLAIR,N,C,NA,C,NA
10 LANSING PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 LEXINGTON AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 LINDEN AVENUE 1ST,07042,MONTCLAIR,N,C,NA,C,NA
10 LINDEN AVENUE 2ND,07042,MONTCLAIR,N,C,NA,C,NA
10 MACOPIN AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
10 MARSTON PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 MILLER STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 MISSION STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 MORNINGSIDE AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
10 MOUNT VERNON ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 MOUNTAIN PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 MOUNTAIN TERRACE,07043,MONTCLAIR,N,C,NA,C,NA
10 MOUNTAINVIEW PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 MOUNTNSIDE PARK TERRACE,07043,MONTCLAIR,N,C,NA,C,NA
10 MULFORD LANE,07042,MONTCLAIR,N,C,NA,C,NA
10 MAPLE AVENUE 1ST,07042,MONTCLAIR,N,C,NA,C,NA
10 MAPLE AVENUE 2ND,07042,MONTCLAIR,Y,C,NA,G,NA
10 MARION ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 MELROSE PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 N MOUNTAIN AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 N WILLOW STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 NISHUANE ROAD,07042,MONTCLAIR,N,C,NA,C,NA
10 NORMAL AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
10 NORMAN ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 NOTTING HILL WAY,07042,MONTCLAIR,N,C,NA,C,NA
10 NASSAU ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 OAKCROFT AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
10 ORANGE ROAD,07042,MONTCLAIR,N,C,NA,C,NA
10 ORCHARD COURT,07042,MONTCLAIR,N,C,NA,C,NA
10 OVERLOOK PARK,07043,MONTCLAIR,N,C,NA,C,NA
10 OXFORD STREET 1ST,07042,MONTCLAIR,N,C,NA,C,NA
10 OXFORD STREET 2ND,07042,MONTCLAIR,N,C,NA,C,NA
10 PINE STREET #1,07042,MONTCLAIR,N,C,NA,C,NA
10 PLEASANT AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 POTTER COURT,07043,MONTCLAIR,N,C,NA,C,NA
10 PRESCOTT AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 PROSPECT AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 PROSPECT TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
10 PIERPONT DRIVE,07042,MONTCLAIR,N,C,NA,C,NA
10 PRINCETON PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 RIVERVIEW DRIVE W,07043,MONTCLAIR,N,C,NA,C,NA
10 ROOSEVELT PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 ROCKLEDGE ROAD,07042,MONTCLAIR,N,C,NA,O,Iron
10 S BROOKWOOD DRIVE,07042,MONTCLAIR,N,C,NA,C,NA
10 SKYTOP TERRACE,07043,MONTCLAIR,N,C,NA,C,NA
10 SOUTHERN TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
10 STONEHENGE ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 SEARS PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 STANFORD PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 SUTHERLAND ROAD,07042,MONTCLAIR,N,C,NA,C,NA
10 TENNIS PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 THE FAIRWAY,07043,MONTCLAIR,N,C,NA,C,NA
10 TICHENOR PLACE 1ST,07042,MONTCLAIR,N,C,NA,C,NA
10 TICHENOR PLACE-2ND,07042,MONTCLAIR,N,C,NA,C,NA
10 TUERS PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 UNION STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 VALLEY PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 VAN BREEMEN COURT,07043,MONTCLAIR,N,C,NA,C,NA
10 VICTORIA TERRACE,07043,MONTCLAIR,N,C,NA,C,NA
10 VINCENT PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 VAN VLECK STREET,07042,MONTCLAIR,Y,C,NA,O,Iron
10 VERA PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 WALNUT PARKWAY 2ND,07042,MONTCLAIR,N,C,NA,C,NA
10 WALNUT PARKWAY-1ST,07042,MONTCLAIR,N,C,NA,C,NA
10 WARREN PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 WATERBURY ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 WHEELER STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 WILDE PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 WILFRED STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 WILLARD PLACE,07042,MONTCLAIR,N,C,NA,C,NA
10 WILLOWDALE AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 WILLOWMERE AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
10 WOODMONT ROAD,07043,MONTCLAIR,N,C,NA,C,NA
10 WARD PLACE,07042,MONTCLAIR,N,C,NA,O,IRON
10 WARFIELD STREET,07043,MONTCLAIR,N,C,NA,C,NA
10 WARMAN STREET 1ST,07042,MONTCLAIR,Y,C,NA,L,NA
10 WARMAN STREET 2ND,07042,MONTCLAIR,Y,C,NA,L,NA
10 WATCHUNG AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
10 WENDOVER ROAD,07042,MONTCLAIR,N,C,NA,C,NA
10 WILLIAM STREET,07042,MONTCLAIR,N,C,NA,C,NA
10 WILLOWDALE COURT,07042,MONTCLAIR,N,C,NA,C,NA
10 WINDSOR PLACE,07043,MONTCLAIR,N,C,NA,C,NA
10 YALE TERRACE,07042,MONTCLAIR,N,C,NA,C,NA
100 ALEXANDER AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
100 BELLEVUE AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
100 BUCKINGHAM ROAD,07043,MONTCLAIR,N,C,NA,C,NA
100 BLOOMFIELD AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
100 CHESTNUT STREET,07042,MONTCLAIR,N,C,NA,C,NA
100 CLAREWILL AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
100 ELM STREET,07042,MONTCLAIR,N,C,NA,C,NA
100 FOREST STREET,07042,MONTCLAIR,N,C,NA,C,NA
100 GATES AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
100 GORDONHURST AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
100 HIGHLAND AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
100 HIGH STREET,07042,MONTCLAIR,N,C,NA,C,NA
100 INWOOD AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
100 LINCOLN STREET,07042,MONTCLAIR,N,C,NA,C,NA
100 LLEWELLYN ROAD,07042,MONTCLAIR,N,C,NA,C,NA
100 MONTCLAIR AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
100 MOUNT HEBRON ROAD,07043,MONTCLAIR,N,C,NA,C,NA
100 MIDLAND AVENUE,07042,MONTCLAIR,Y,C,NA,L,NA
100 OVERLOOK ROAD,07043,MONTCLAIR,Y,C,NA,UX,NA
100 PARK STREET,07043,MONTCLAIR,N,C,NA,C,NA
100 S MOUNTAIN AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
100 SUMMIT AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
100 UPPER MOUNTAIN AVENUE,07042,MONTCLAIR,Y,C,NA,O,BRASS
100 VALLEY ROAD,07043,MONTCLAIR,N,C,NA,C,NA
100 WARREN PLACE,07042,MONTCLAIR,N,C,NA,C,NA
100 WILLOWDALE AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
100 WILDWOOD AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
100-6 WATCHUNG AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
101 BEVERLY ROAD,07043,MONTCLAIR,N,C,NA,C,NA
101 BELLEVUE AVENUE,07043,MONTCLAIR,Y,C,NA,G,NA
101 BUCKINGHAM ROAD,07043,MONTCLAIR,N,C,NA,C,NA
101 CLAREWILL AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
101 COOPER AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
101 CLINTON AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
101 ELM STREET,07042,MONTCLAIR,N,C,NA,C,NA
101 ESSEX AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
101 GATES AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
101 GREENWOOD AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
101 GLENRIDGE AVENUE,07042,MONTCLAIR,Y,C,NA,UX,NA
101 GORDONHURST AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
101 HADDON PLACE,07043,MONTCLAIR,N,C,NA,C,NA
101 INWOOD AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
101 LINCOLN STREET,07042,MONTCLAIR,N,C,NA,C,NA
101 LORRAINE AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
101 MOUNT HEBRON ROAD 1ST,07043,MONTCLAIR,N,C,NA,C,NA
101 MOUNT HEBRON ROAD 2ND,07043,MONTCLAIR,N,C,NA,C,NA
101 N FULLERTON AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
101 OVERLOOK ROAD,07043,MONTCLAIR,N,C,NA,C,NA
101 PARK STREET,07043,MONTCLAIR,N,C,NA,C,NA
101 PLEASANT AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
101 S MOUNTAIN AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
101 STONEBRIDGE ROAD,07042,MONTCLAIR,N,C,NA,C,NA
101 SUMMIT AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
101 UNDERCLIFF ROAD,07042,MONTCLAIR,Y,C,NA,G,NA
101 WILDWOOD AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
101 WILLOWDALE AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
101 YANTACAW BROOK ROAD,07043,MONTCLAIR,N,C,NA,C,NA
101-103 WALNUT STREET,07042,MONTCLAIR,N,C,NA,C,NA
101-A GROVE STREET,07043,MONTCLAIR,N,C,NA,C,NA
102 BUCKINGHAM ROAD,07043,MONTCLAIR,N,C,NA,C,NA
102 BELLEVUE AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
102 CLAREWILL AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
102 CLINTON AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
102 COOPER AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
102 ESSEX AVENUE,07042,MONTCLAIR,Y,C,NA,O,Brass
102 GATES AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
102 GORDONHURST AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
102 HARRISON AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
102 HIGH STREET,07042,MONTCLAIR,N,C,NA,C,NA
102 HIGHLAND AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
102 HADDON PLACE,07043,MONTCLAIR,N,C,NA,C,NA
102 INWOOD AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
102 LINCOLN STREET,07042,MONTCLAIR,N,C,NA,C,NA
102 LLOYD ROAD,07042,MONTCLAIR,N,C,NA,C,NA
102 LORRAINE AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
102 MIDLAND AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
102 MOUNT HEBRON ROAD,07043,MONTCLAIR,N,C,NA,C,NA
102 N MOUNTAIN AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
102 PARK STREET,07043,MONTCLAIR,N,C,NA,C,NA
102 PINE STREET,07042,MONTCLAIR,N,C,NA,C,NA
102 S FULLERTON AVENUE,07042,MONTCLAIR,Y,C,NA,G,NA
102 SQUIRE HILL ROAD,07043,MONTCLAIR,N,C,NA,C,NA
102 STONEBRIDGE ROAD,07042,MONTCLAIR,N,C,NA,C,NA
102 SUMMIT AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
102 UPPER MOUNTAIN AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
102 WILDWOOD AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
102 YANTACAW BROOK ROAD,07043,MONTCLAIR,N,C,NA,C,NA
102-104 WALNUT STREET,07042,MONTCLAIR,N,C,NA,C,NA
103 BELLEVUE AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
103 BEVERLY ROAD,07043,MONTCLAIR,N,C,NA,C,NA
103 BUCKINGHAM ROAD,07043,MONTCLAIR,N,C,NA,C,NA
103 CLAREMONT AVENUE,07042,MONTCLAIR,N,C,NA,C,NA
103 CHESTNUT STREET,07042,MONTCLAIR,N,C,NA,C,NA
103 ESSEX AVENUE,07042,MONTCLAIR,Y,C,NA,G,NA
103 FOREST STREET,07042,MONTCLAIR,N,C,NA,C,NA
103 GORDONHURST AVENUE,07043,MONTCLAIR,N,C,NA,C,NA
