address,zip,town,address_full,suspected_lead,psl_materials,psl_other,service_line,csl_other,latitude,longitude,coord_source,flag_incomplete,latitude_adj,longitude_adj,address_full_adj
1 DODD STREET,7042,MONTCLAIR,"1 DODD STREET, MONTCLAIR, NJ, 07042",Y,C,,L,,40.823745542648,-74.201017211312,census,0,40.823745542648,-74.201017211312,"1 DODD STREET, MONTCLAIR, NJ, 07042"
1 EDGECLIFF ROAD,7043,MONTCLAIR,"1 EDGECLIFF ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.844322013734,-74.213049281751,census,0,40.844322013734,-74.213049281751,"1 EDGECLIFF ROAD, MONTCLAIR, NJ, 07043"
1 EDGEWOOD TER,7042,MONTCLAIR,"1 EDGEWOOD TER, MONTCLAIR, NJ, 07042",N,C,,C,,40.829285020037,-74.219993047309,census,0,40.829285020037,-74.219993047309,"1 EDGEWOOD TER, MONTCLAIR, NJ, 07042"
1 ELIZABETH ROAD,7043,MONTCLAIR,"1 ELIZABETH ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.852516721423,-74.19194213329,census,0,40.852516721423,-74.19194213329,"1 ELIZABETH ROAD, MONTCLAIR, NJ, 07043"
1 EMERSON PLACE,7043,MONTCLAIR,"1 EMERSON PLACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.850242167537,-74.202959820148,census,0,40.850242167537,-74.202959820148,"1 EMERSON PLACE, MONTCLAIR, NJ, 07043"
1 ERWIN PARK ROAD,7042,MONTCLAIR,"1 ERWIN PARK ROAD, MONTCLAIR, NJ, 07042",N,C,,C,,40.8280851871,-74.211940756581,census,0,40.8280851871,-74.211940756581,"1 ERWIN PARK ROAD, MONTCLAIR, NJ, 07042"
1 ESSEX WAY,7042,MONTCLAIR,"1 ESSEX WAY, MONTCLAIR, NJ, 07042",N,C,,C,,40.825346551378,-74.208303123889,census,0,40.825346551378,-74.208303123889,"1 ESSEX WAY, MONTCLAIR, NJ, 07042"
1 FERNCLIFF TERRACE,7042,MONTCLAIR,"1 FERNCLIFF TERRACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.82240419882,-74.198880361764,census,0,40.82240419882,-74.198880361764,"1 FERNCLIFF TERRACE, MONTCLAIR, NJ, 07042"
1 FERNWOOD PLACE,7043,MONTCLAIR,"1 FERNWOOD PLACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.8450317687,-74.206761769065,census,0,40.8450317687,-74.206761769065,"1 FERNWOOD PLACE, MONTCLAIR, NJ, 07043"
1 FESSLER PLACE 1ST,7042,MONTCLAIR,"1 FESSLER PLACE 1ST, MONTCLAIR, NJ, 07042",N,C,,C,,40.823306315369,-74.209865092392,census,0,40.823306315369,-74.209865092392,"1 FESSLER PLACE 1ST, MONTCLAIR, NJ, 07042"
1 FESSLER PLACE 2ND,7042,MONTCLAIR,"1 FESSLER PLACE 2ND, MONTCLAIR, NJ, 07042",N,C,,C,,40.823306315369,-74.209865092392,census,0,40.823306315369,-74.209865092392,"1 FESSLER PLACE 2ND, MONTCLAIR, NJ, 07042"
1 FAIRMOUNT AVENUE,7043,MONTCLAIR,"1 FAIRMOUNT AVENUE, MONTCLAIR, NJ, 07043",N,C,,C,,40.828440666545,-74.195259775915,census,0,40.828440666545,-74.195259775915,"1 FAIRMOUNT AVENUE, MONTCLAIR, NJ, 07043"
1 GATES AVENUE,7042,MONTCLAIR,"1 GATES AVENUE, MONTCLAIR, NJ, 07042",N,C,,C,,40.810989452148,-74.2140946151,census,0,40.810989452148,-74.2140946151,"1 GATES AVENUE, MONTCLAIR, NJ, 07042"
1 GLENRIDGE PARKWAY,7042,MONTCLAIR,"1 GLENRIDGE PARKWAY, MONTCLAIR, NJ, 07042",N,C,,C,,40.820757664522,-74.202834987644,census,0,40.820757664522,-74.202834987644,"1 GLENRIDGE PARKWAY, MONTCLAIR, NJ, 07042"
1 GRANT STREET,7042,MONTCLAIR,"1 GRANT STREET, MONTCLAIR, NJ, 07042",N,C,,C,,40.809463305219,-74.207114328843,census,0,40.809463305219,-74.207114328843,"1 GRANT STREET, MONTCLAIR, NJ, 07042"
1 GREENVIEW WAY,7043,MONTCLAIR,"1 GREENVIEW WAY, MONTCLAIR, NJ, 07043",N,C,,C,,40.83812093668,-74.193231229976,census,0,40.83812093668,-74.193231229976,"1 GREENVIEW WAY, MONTCLAIR, NJ, 07043"
1 HAMILTON TERRACE,7043,MONTCLAIR,"1 HAMILTON TERRACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.856834265554,-74.200728401315,census,0,40.856834265554,-74.200728401315,"1 HAMILTON TERRACE, MONTCLAIR, NJ, 07043"
1 HAWTHORNE PLACE,7042,MONTCLAIR,"1 HAWTHORNE PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.807358030429,-74.215779985764,census,0,40.807358030429,-74.215779985764,"1 HAWTHORNE PLACE, MONTCLAIR, NJ, 07042"
1 HILLTOP PLACE,7042,MONTCLAIR,"1 HILLTOP PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.793104184388,-74.221660584184,census,0,40.793104184388,-74.221660584184,"1 HILLTOP PLACE, MONTCLAIR, NJ, 07042"
1 HARVARD STREET,7042,MONTCLAIR,"1 HARVARD STREET, MONTCLAIR, NJ, 07042",Y,C,,UX,,40.8260725,-74.1994592,google_prior,0,40.8260725,-74.1994592,"1 HARVARD STREET, MONTCLAIR, NJ, 07042"
1 HIGHLAND TERRACE,7043,MONTCLAIR,"1 HIGHLAND TERRACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.847990413366,-74.210178646234,census,0,40.847990413366,-74.210178646234,"1 HIGHLAND TERRACE, MONTCLAIR, NJ, 07043"
1 KENNETH ROAD,7043,MONTCLAIR,"1 KENNETH ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.847365537888,-74.194235972868,census,0,40.847365537888,-74.194235972868,"1 KENNETH ROAD, MONTCLAIR, NJ, 07043"
1 KIPS RIDGE,7044,MONTCLAIR,"1 KIPS RIDGE, MONTCLAIR, NJ, 07044",N,C,,C,,40.8271504,-74.2264505,google_prior,0,40.8271504,-74.2264505,"1 KIPS RIDGE, MONTCLAIR, NJ, 07044"
1 LACKAWANNA PLAZA,7042,MONTCLAIR,"1 LACKAWANNA PLAZA, MONTCLAIR, NJ, 07042",N,C,,C,,40.810961102585,-74.213780816646,census,0,40.810961102585,-74.213780816646,"1 LACKAWANNA PLAZA, MONTCLAIR, NJ, 07042"
1 LANSING PLACE,7043,MONTCLAIR,"1 LANSING PLACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.845885592711,-74.206193602963,census,0,40.845885592711,-74.206193602963,"1 LANSING PLACE, MONTCLAIR, NJ, 07043"
1 LASALLE ROAD,7043,MONTCLAIR,"1 LASALLE ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.850417322604,-74.191460705275,census,0,40.850417322604,-74.191460705275,"1 LASALLE ROAD, MONTCLAIR, NJ, 07043"
1 LAUREL PLACE,7043,MONTCLAIR,"1 LAUREL PLACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.848704304644,-74.204231139087,census,0,40.848704304644,-74.204231139087,"1 LAUREL PLACE, MONTCLAIR, NJ, 07043"
1 LEWIS COURT,7042,MONTCLAIR,"1 LEWIS COURT, MONTCLAIR, NJ, 07042",N,C,,C,,40.7955692,-74.2214446,google_prior,0,40.7955692,-74.2214446,"1 LEWIS COURT, MONTCLAIR, NJ, 07042"
1 LINDEN AVENUE,7042,MONTCLAIR,"1 LINDEN AVENUE, MONTCLAIR, NJ, 07042",N,C,,C,,40.79523952339,-74.216097403196,census,0,40.79523952339,-74.216097403196,"1 LINDEN AVENUE, MONTCLAIR, NJ, 07042"
1 MANOR COURT,7042,MONTCLAIR,"1 MANOR COURT, MONTCLAIR, NJ, 07042",N,C,,C,,40.795984557302,-74.222983876758,census,0,40.795984557302,-74.222983876758,"1 MANOR COURT, MONTCLAIR, NJ, 07042"
1 MARQUETTE ROAD,7043,MONTCLAIR,"1 MARQUETTE ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.849507380526,-74.191820797304,census,0,40.849507380526,-74.191820797304,"1 MARQUETTE ROAD, MONTCLAIR, NJ, 07043"
1 MCDONOUGH STREET,7042,MONTCLAIR,"1 MCDONOUGH STREET, MONTCLAIR, NJ, 07042",N,C,,C,,40.824196277034,-74.20094942563,census,0,40.824196277034,-74.20094942563,"1 MCDONOUGH STREET, MONTCLAIR, NJ, 07042"
1 MENDL TERRACE,7042,MONTCLAIR,"1 MENDL TERRACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.825502394315,-74.205064376829,census,0,40.825502394315,-74.205064376829,"1 MENDL TERRACE, MONTCLAIR, NJ, 07042"
1 MOUNTAIN PLACE 1ST,7043,MONTCLAIR,"1 MOUNTAIN PLACE 1ST, MONTCLAIR, NJ, 07043",N,C,,C,,40.846478163866,-74.205772015858,census,0,40.846478163866,-74.205772015858,"1 MOUNTAIN PLACE 1ST, MONTCLAIR, NJ, 07043"
1 MOUNTAIN PLACE 2ND FL,7043,MONTCLAIR,"1 MOUNTAIN PLACE 2ND FL, MONTCLAIR, NJ, 07043",N,C,,C,,40.846478163866,-74.205772015858,census,0,40.846478163866,-74.205772015858,"1 MOUNTAIN PLACE 2ND FL, MONTCLAIR, NJ, 07043"
1 MUNN STREET,7042,MONTCLAIR,"1 MUNN STREET, MONTCLAIR, NJ, 07042",N,C,,C,,40.815719921595,-74.21628633411,census,0,40.815719921595,-74.21628633411,"1 MUNN STREET, MONTCLAIR, NJ, 07042"
1 MOUNT VERNON ROAD,7043,MONTCLAIR,"1 MOUNT VERNON ROAD, MONTCLAIR, NJ, 07043",Y,C,,C,,40.832614963725,-74.196859813094,census,0,40.832614963725,-74.196859813094,"1 MOUNT VERNON ROAD, MONTCLAIR, NJ, 07043"
1 N BROOKWOOD DRIVE,7042,MONTCLAIR,"1 N BROOKWOOD DRIVE, MONTCLAIR, NJ, 07042",N,C,,C,,40.801652423449,-74.225485296782,census,0,40.801652423449,-74.225485296782,"1 N BROOKWOOD DRIVE, MONTCLAIR, NJ, 07042"
1 NASSAU ROAD,7043,MONTCLAIR,"1 NASSAU ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.853265174499,-74.200512940286,census,0,40.853265174499,-74.200512940286,"1 NASSAU ROAD, MONTCLAIR, NJ, 07043"
1 ORCHARD COURT,7042,MONTCLAIR,"1 ORCHARD COURT, MONTCLAIR, NJ, 07042",N,C,,C,,40.795992865871,-74.224021082741,census,0,40.795992865871,-74.224021082741,"1 ORCHARD COURT, MONTCLAIR, NJ, 07042"
1 PINE STREET,7042,MONTCLAIR,"1 PINE STREET, MONTCLAIR, NJ, 07042",N,C,,C,,40.807135445343,-74.209866823331,census,0,40.807135445343,-74.209866823331,"1 PINE STREET, MONTCLAIR, NJ, 07042"
1 PRESTON PLACE,7043,MONTCLAIR,"1 PRESTON PLACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.838244430482,-74.207499711379,census,0,40.838244430482,-74.207499711379,"1 PRESTON PLACE, MONTCLAIR, NJ, 07043"
1 RUTGERS PLACE,7043,MONTCLAIR,"1 RUTGERS PLACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.848232258373,-74.183558755642,census,0,40.848232258373,-74.183558755642,"1 RUTGERS PLACE, MONTCLAIR, NJ, 07043"
1 RIVERVIEW DRIVE W,7043,MONTCLAIR,"1 RIVERVIEW DRIVE W, MONTCLAIR, NJ, 07043",N,C,,C,,40.848847515849,-74.188269977059,census,0,40.848847515849,-74.188269977059,"1 RIVERVIEW DRIVE W, MONTCLAIR, NJ, 07043"
1 RUSSELL TERRACE,7042,MONTCLAIR,"1 RUSSELL TERRACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.809708929653,-74.221591123244,census,0,40.809708929653,-74.221591123244,"1 RUSSELL TERRACE, MONTCLAIR, NJ, 07042"
1 RYDAL PLACE 1ST,7042,MONTCLAIR,"1 RYDAL PLACE 1ST, MONTCLAIR, NJ, 07042",Y,C,,G,,40.825834896226,-74.218174795972,census,0,40.825834896226,-74.218174795972,"1 RYDAL PLACE 1ST, MONTCLAIR, NJ, 07042"
1 RYDAL PLACE 2ND,7042,MONTCLAIR,"1 RYDAL PLACE 2ND, MONTCLAIR, NJ, 07042",Y,C,,L,,40.825834896226,-74.218174795972,census,0,40.825834896226,-74.218174795972,"1 RYDAL PLACE 2ND, MONTCLAIR, NJ, 07042"
1 S BROOKWOOD DRIVE,7042,MONTCLAIR,"1 S BROOKWOOD DRIVE, MONTCLAIR, NJ, 07042",N,C,,C,,40.800960189314,-74.225676948416,census,0,40.800960189314,-74.225676948416,"1 S BROOKWOOD DRIVE, MONTCLAIR, NJ, 07042"
1 S MOUNTAIN TERRACE,7042,MONTCLAIR,"1 S MOUNTAIN TERRACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.808889782481,-74.230980954558,census,0,40.808889782481,-74.230980954558,"1 S MOUNTAIN TERRACE, MONTCLAIR, NJ, 07042"
1 SENECA PLACE,7043,MONTCLAIR,"1 SENECA PLACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.845624741034,-74.209275412842,census,0,40.845624741034,-74.209275412842,"1 SENECA PLACE, MONTCLAIR, NJ, 07043"
1 SEYMOUR PLAZA,7042,MONTCLAIR,"1 SEYMOUR PLAZA, MONTCLAIR, NJ, 07042",N,C,,C,,40.812702234452,-74.216143790759,census,0,40.812702234452,-74.216143790759,"1 SEYMOUR PLAZA, MONTCLAIR, NJ, 07042"
1 STONEBRIDGE ROAD,7042,MONTCLAIR,"1 STONEBRIDGE ROAD, MONTCLAIR, NJ, 07042",Y,C,,G,,40.8023478,-74.2277289,google_prior,0,40.8023478,-74.2277289,"1 STONEBRIDGE ROAD, MONTCLAIR, NJ, 07042"
1 SUTHERLAND ROAD,7042,MONTCLAIR,"1 SUTHERLAND ROAD, MONTCLAIR, NJ, 07042",Y,C,,L,,40.7997012,-74.2262602,google_prior,0,40.7997012,-74.2262602,"1 SUTHERLAND ROAD, MONTCLAIR, NJ, 07042"
1 SYLVAN PLACE,7042,MONTCLAIR,"1 SYLVAN PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.819870770841,-74.210739906511,census,0,40.819870770841,-74.210739906511,"1 SYLVAN PLACE, MONTCLAIR, NJ, 07042"
1 THE CRESCENT,7042,MONTCLAIR,"1 THE CRESCENT, MONTCLAIR, NJ, 07042",N,C,,C,,40.812871517687,-74.218005600984,census,0,40.812871517687,-74.218005600984,"1 THE CRESCENT, MONTCLAIR, NJ, 07042"
1 THE FAIRWAY,7043,MONTCLAIR,"1 THE FAIRWAY, MONTCLAIR, NJ, 07043",N,C,,C,,40.8383723339,-74.194193715471,census,0,40.8383723339,-74.194193715471,"1 THE FAIRWAY, MONTCLAIR, NJ, 07043"
1 UPPER MOUNTAIN AVENUE,7042,MONTCLAIR,"1 UPPER MOUNTAIN AVENUE, MONTCLAIR, NJ, 07042",N,C,,C,,40.821075797817,-74.225368051947,census,0,40.821075797817,-74.225368051947,"1 UPPER MOUNTAIN AVENUE, MONTCLAIR, NJ, 07042"
1 UNION STREET,7042,MONTCLAIR,"1 UNION STREET, MONTCLAIR, NJ, 07042",Y,G,,G,,40.809121085802,-74.214066258718,census,0,40.809121085802,-74.214066258718,"1 UNION STREET, MONTCLAIR, NJ, 07042"
1 VALLEY PLACE,7043,MONTCLAIR,"1 VALLEY PLACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.847055686271,-74.205315669372,census,0,40.847055686271,-74.205315669372,"1 VALLEY PLACE, MONTCLAIR, NJ, 07043"
1 WALDEN PLACE,7042,MONTCLAIR,"1 WALDEN PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.820112709603,-74.225040008767,census,0,40.820112709603,-74.225040008767,"1 WALDEN PLACE, MONTCLAIR, NJ, 07042"
1 WALNUT PLACE,7042,MONTCLAIR,"1 WALNUT PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.819980957606,-74.213728646761,census,0,40.819980957606,-74.213728646761,"1 WALNUT PLACE, MONTCLAIR, NJ, 07042"
1 WATCHUNG AVENUE,7043,MONTCLAIR,"1 WATCHUNG AVENUE, MONTCLAIR, NJ, 07043",N,C,,C,,40.834838132887,-74.215301419155,census,0,40.834838132887,-74.215301419155,"1 WATCHUNG AVENUE, MONTCLAIR, NJ, 07043"
1 WENDOVER ROAD,7042,MONTCLAIR,"1 WENDOVER ROAD, MONTCLAIR, NJ, 07042",N,C,,C,,40.828268816018,-74.215256666949,census,0,40.828268816018,-74.215256666949,"1 WENDOVER ROAD, MONTCLAIR, NJ, 07042"
1 WILFRED STREET,7042,MONTCLAIR,"1 WILFRED STREET, MONTCLAIR, NJ, 07042",N,C,,C,,40.796447055386,-74.227559543257,census,0,40.796447055386,-74.227559543257,"1 WILFRED STREET, MONTCLAIR, NJ, 07042"
1 WILLARD PLACE,7042,MONTCLAIR,"1 WILLARD PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.814262303616,-74.209032821125,census,0,40.814262303616,-74.209032821125,"1 WILLARD PLACE, MONTCLAIR, NJ, 07042"
1 WILLIAM STREET,7042,MONTCLAIR,"1 WILLIAM STREET, MONTCLAIR, NJ, 07042",N,C,,C,,40.821769718613,-74.217275665948,census,0,40.821769718613,-74.217275665948,"1 WILLIAM STREET, MONTCLAIR, NJ, 07042"
1 WINDEMERE ROAD,7043,MONTCLAIR,"1 WINDEMERE ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.846595363066,-74.194234871612,census,0,40.846595363066,-74.194234871612,"1 WINDEMERE ROAD, MONTCLAIR, NJ, 07043"
1 WOODLAND AVENUE,7042,MONTCLAIR,"1 WOODLAND AVENUE, MONTCLAIR, NJ, 07042",N,C,,C,,40.803618474191,-74.212578110406,census,0,40.803618474191,-74.212578110406,"1 WOODLAND AVENUE, MONTCLAIR, NJ, 07042"
1 WOODLAND AVENUE (89 MAPLE,7042,MONTCLAIR,"1 WOODLAND AVENUE (89 MAPLE, MONTCLAIR, NJ, 07042",N,C,,C,,40.803618474191,-74.212578110406,census,0,40.803618474191,-74.212578110406,"1 WOODLAND AVENUE (89 MAPLE, MONTCLAIR, NJ, 07042"
1 WARREN PLACE,7042,MONTCLAIR,"1 WARREN PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.805275590744,-74.219848376274,census,0,40.805275590744,-74.219848376274,"1 WARREN PLACE, MONTCLAIR, NJ, 07042"
1 YALE TERRACE,7042,MONTCLAIR,"1 YALE TERRACE, MONTCLAIR, NJ, 07042",Y,C,,G,,40.82621294433,-74.204637923207,census,0,40.82621294433,-74.204637923207,"1 YALE TERRACE, MONTCLAIR, NJ, 07042"
1-11 GREENWOOD AVENUE,7042,MONTCLAIR,"1-11 GREENWOOD AVENUE, MONTCLAIR, NJ, 07042",N,C,,C,,40.812278113493,-74.213298666833,census,0,40.812278113493,-74.213298666833,"1-11 GREENWOOD AVENUE, MONTCLAIR, NJ, 07042"
10 ALDEN ROAD,7042,MONTCLAIR,"10 ALDEN ROAD, MONTCLAIR, NJ, 07042",N,C,,C,,40.796165228437,-74.214167305172,census,0,40.796165228437,-74.214167305172,"10 ALDEN ROAD, MONTCLAIR, NJ, 07042"
10 ALEXANDER AVENUE,7043,MONTCLAIR,"10 ALEXANDER AVENUE, MONTCLAIR, NJ, 07043",N,C,,C,,40.84666963022,-74.184632458653,census,0,40.84666963022,-74.184632458653,"10 ALEXANDER AVENUE, MONTCLAIR, NJ, 07043"
10 AMELIA STREET,7042,MONTCLAIR,"10 AMELIA STREET, MONTCLAIR, NJ, 07042",N,C,,C,,40.793734325967,-74.225297123684,census,0,40.793734325967,-74.225297123684,"10 AMELIA STREET, MONTCLAIR, NJ, 07042"
10 APPLETON PLACE,7043,MONTCLAIR,"10 APPLETON PLACE, MONTCLAIR, NJ, 07043",N,C,,C,,40.833269667946,-74.208789769812,census,0,40.833269667946,-74.208789769812,"10 APPLETON PLACE, MONTCLAIR, NJ, 07043"
10 AUBREY ROAD,7043,MONTCLAIR,"10 AUBREY ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.833422241302,-74.198302787661,census,0,40.833422241302,-74.198302787661,"10 AUBREY ROAD, MONTCLAIR, NJ, 07043"
10 ARGYLE ROAD,7043,MONTCLAIR,"10 ARGYLE ROAD, MONTCLAIR, NJ, 07043",N,C,,C,,40.83566359156,-74.194665877716,census,0,40.83566359156,-74.194665877716,"10 ARGYLE ROAD, MONTCLAIR, NJ, 07043"
10 BELLEGROVE DRIVE,7043,MONTCLAIR,"10 BELLEGROVE DRIVE, MONTCLAIR, NJ, 07043",N,C,,C,,40.838182523461,-74.19229102572,census,0,40.838182523461,-74.19229102572,"10 BELLEGROVE DRIVE, MONTCLAIR, NJ, 07043"
10 BELVIDERE PLACE,7042,MONTCLAIR,"10 BELVIDERE PLACE, MONTCLAIR, NJ, 07042",N,C,,C,,40.824551864706,-74.217364146069,census,0,40.824551864706,-74.217364146069,"10 BELVIDERE PLACE, MONTCLAIR, NJ, 07042"
