address,zip,town,suspected_lead,psl_materials,psl_other,service_line,csl_other
10 FRIENDSHIP PLACE,07042,Montclair,N,C,,C,
10 FRINK STREET,07042,Montclair,N,C,,C,
10 Francis Place,07042,Montclair,Y,C,,UX,
10 GARDEN STREET,07042,Montclair,N,C,,C,
10 GARDINER PLACE,07042,Montclair,N,C,,C,
10 GARFIELD PLACE,07043,Montclair,N,C,,C,
10 GEORGE STREET,07042,Montclair,N,C,,C,
10 GLENRIDGE PKWY,07042,Montclair,N,C,,C,
10 GLENWOOD ROAD,07043,Montclair,N,C,,C,
10 GODFREY ROAD,07043,Montclair,N,C,,C,
10 GREENVIEW WAY,07043,Montclair,N,C,,C,
10 GRENADA PLACE,07042,Montclair,N,C,,C,
10 GROVE TERRACE,07042,Montclair,N,C,,C,
10 Glenridge Parkway,07042,Montclair,N,C,,C,
10 Graham Terrace,07042,Montclair,N,C,,C,
10 Gray Street,07042,Montclair,N,C,,C,
10 HAMILTON TERRACE,07043,Montclair,N,C,,C,
10 HARRISON AVENUE,07042,Montclair,N,C,,C,
10 HARTLEY STREET,07042,Montclair,N,C,,C,
10 HAWTHORNE PLACE,07042,Montclair,N,C,,C,
10 HELLER DRIVE,07043,Montclair,N,C,,C,
10 HIGH TERRACE,07042,Montclair,N,C,,C,
10 HIGHLAND AVENUE,07043,Montclair,N,C,,C,
10 HILLTOP PLACE,07042,Montclair,N,C,,C,
10 HITCHCOCK PLACE,07042,Montclair,N,C,,C,
10 HOLLAND TERRACE,07042,Montclair,N,C,,C,
10 HOLLYWOOD AVENUE,07042,Montclair,N,C,,C,
10 HOMEWOOD WAY,07042,Montclair,N,C,,C,
10 HOWE AVENUE,07042,Montclair,N,C,,C,
10 INWOOD TERRACE,07043,Montclair,N,C,,C,
10 JAMES STREET,07042,Montclair,N,C,,C,
10 JEFFERSON PLACE,07042,Montclair,N,C,,C,
10 Jefferson Place,07042,Montclair,N,C,,C,
10 Jefferson Place 1ST,07042,Montclair,N,C,,C,
10 KENNETH ROAD,07043,Montclair,N,C,,C,
10 KIPS RIDGE,07044,Montclair,N,C,,C,
10 LANSING PLACE,07043,Montclair,N,C,,C,
10 LEXINGTON AVENUE,07042,Montclair,N,C,,C,
10 LINDEN AVENUE 1ST,07042,Montclair,N,C,,C,
10 LINDEN AVENUE 2ND,07042,Montclair,N,C,,C,
10 MACOPIN AVENUE,07043,Montclair,N,C,,C,
10 MARSTON PLACE,07042,Montclair,N,C,,C,
10 MILLER STREET,07042,Montclair,N,C,,C,
10 MISSION STREET,07042,Montclair,N,C,,C,
10 MORNINGSIDE AVENUE,07043,Montclair,N,C,,C,
10 MOUNT VERNON ROAD,07043,Montclair,N,C,,C,
10 MOUNTAIN PLACE,07043,Montclair,N,C,,C,
10 MOUNTAIN TERRACE,07043,Montclair,N,C,,C,
10 MOUNTAINVIEW PLACE,07042,Montclair,N,C,,C,
10 MOUNTNSIDE PARK TERRACE,07043,Montclair,N,C,,C,
10 MULFORD LANE,07042,Montclair,N,C,,C,
10 Maple Avenue 1ST,07042,Montclair,N,C,,C,
10 Maple Avenue 2ND,07042,Montclair,Y,C,,G,
10 Marion Road,07043,Montclair,N,C,,C,
10 Melrose Place,07042,Montclair,N,C,,C,
10 N MOUNTAIN AVENUE,07042,Montclair,N,C,,C,
10 N WILLOW STREET,07042,Montclair,N,C,,C,
10 NISHUANE ROAD,07042,Montclair,N,C,,C,
10 NORMAL AVENUE,07043,Montclair,N,C,,C,
10 NORMAN ROAD,07043,Montclair,N,C,,C,
10 NOTTING HILL WAY,07042,Montclair,N,C,,C,
10 Nassau Road,07043,Montclair,N,C,,C,
10 OAKCROFT AVENUE,07043,Montclair,N,C,,C,
10 ORANGE ROAD,07042,Montclair,N,C,,C,
10 ORCHARD COURT,07042,Montclair,N,C,,C,
10 OVERLOOK PARK,07043,Montclair,N,C,,C,
10 OXFORD STREET 1ST,07042,Montclair,N,C,,C,
10 OXFORD STREET 2ND,07042,Montclair,N,C,,C,
10 PINE STREET #1,07042,Montclair,N,C,,C,
10 PLEASANT AVENUE,07042,Montclair,N,C,,C,
10 POTTER COURT,07043,Montclair,N,C,,C,
10 PRESCOTT AVENUE,07042,Montclair,N,C,,C,
10 PROSPECT AVENUE,07042,Montclair,N,C,,C,
10 PROSPECT TERRACE,07042,Montclair,N,C,,C,
10 Pierpont Drive,07042,Montclair,N,C,,C,
10 Princeton Place,07043,Montclair,N,C,,C,
10 RIVERVIEW DRIVE W,07043,Montclair,N,C,,C,
10 ROOSEVELT PLACE,07042,Montclair,N,C,,C,
10 Rockledge Road,07042,Montclair,N,C,,O,Iron
10 S BROOKWOOD DRIVE,07042,Montclair,N,C,,C,
10 SKYTOP TERRACE,07043,Montclair,N,C,,C,
10 SOUTHERN TERRACE,07042,Montclair,N,C,,C,
10 STONEHENGE ROAD,07043,Montclair,N,C,,C,
10 Sears Place,07042,Montclair,N,C,,C,
10 Stanford Place,07042,Montclair,N,C,,C,
10 Sutherland Road,07042,Montclair,N,C,,C,
10 TENNIS PLACE,07042,Montclair,N,C,,C,
10 THE FAIRWAY,07043,Montclair,N,C,,C,
10 TICHENOR PLACE 1ST,07042,Montclair,N,C,,C,
10 TICHENOR PLACE-2ND,07042,Montclair,N,C,,C,
10 TUERS PLACE,07043,Montclair,N,C,,C,
10 UNION STREET,07042,Montclair,N,C,,C,
10 VALLEY PLACE,07043,Montclair,N,C,,C,
10 VAN BREEMEN COURT,07043,Montclair,N,C,,C,
10 VICTORIA TERRACE,07043,Montclair,N,C,,C,
10 VINCENT PLACE,07042,Montclair,N,C,,C,
10 Van Vleck Street,07042,Montclair,Y,C,,O,Iron
10 Vera Place,07042,Montclair,N,C,,C,
10 WALNUT PARKWAY 2ND,07042,Montclair,N,C,,C,
10 WALNUT PARKWAY-1ST,07042,Montclair,N,C,,C,
10 WARREN PLACE,07042,Montclair,N,C,,C,
10 WATERBURY ROAD,07043,Montclair,N,C,,C,
10 WHEELER STREET,07042,Montclair,N,C,,C,
10 WILDE PLACE,07042,Montclair,N,C,,C,
10 WILFRED STREET,07042,Montclair,N,C,,C,
10 WILLARD PLACE,07042,Montclair,N,C,,C,
10 WILLOWDALE AVENUE,07042,Montclair,N,C,,C,
10 WILLOWMERE AVENUE,07042,Montclair,N,C,,C,
10 WOODMONT ROAD,07043,Montclair,N,C,,C,
10 Ward Place,07042,Montclair,N,C,,O,IRON
10 Warfield Street,07043,Montclair,N,C,,C,
10 Warman Street 1ST,07042,Montclair,Y,C,,L,
10 Warman Street 2ND,07042,Montclair,Y,C,,L,
10 Watchung Avenue,07043,Montclair,N,C,,C,
10 Wendover Road,07042,Montclair,N,C,,C,
10 William Street,07042,Montclair,N,C,,C,
10 Willowdale Court,07042,Montclair,N,C,,C,
10 Windsor Place,07043,Montclair,N,C,,C,
10 Yale Terrace,07042,Montclair,N,C,,C,
100 ALEXANDER AVENUE,07043,Montclair,N,C,,C,
100 BELLEVUE AVENUE,07043,Montclair,N,C,,C,
100 BUCKINGHAM ROAD,07043,Montclair,N,C,,C,
100 Bloomfield Avenue,07042,Montclair,N,C,,C,
100 CHESTNUT STREET,07042,Montclair,N,C,,C,
100 CLAREWILL AVENUE,07043,Montclair,N,C,,C,
100 ELM STREET,07042,Montclair,N,C,,C,
100 FOREST STREET,07042,Montclair,N,C,,C,
100 GATES AVENUE,07042,Montclair,N,C,,C,
100 GORDONHURST AVENUE,07043,Montclair,N,C,,C,
100 HIGHLAND AVENUE,07043,Montclair,N,C,,C,
100 High Street,07042,Montclair,N,C,,C,
100 INWOOD AVENUE,07043,Montclair,N,C,,C,
100 LINCOLN STREET,07042,Montclair,N,C,,C,
100 LLEWELLYN ROAD,07042,Montclair,N,C,,C,
100 MONTCLAIR AVENUE,07043,Montclair,N,C,,C,
100 MOUNT HEBRON ROAD,07043,Montclair,N,C,,C,
100 Midland Avenue,07042,Montclair,Y,C,,L,
100 Overlook Road,07043,Montclair,Y,C,,UX,
100 PARK STREET,07043,Montclair,N,C,,C,
100 S MOUNTAIN AVENUE,07042,Montclair,N,C,,C,
100 SUMMIT AVENUE,07043,Montclair,N,C,,C,
100 Upper Mountain Avenue,07042,Montclair,Y,C,,O,BRASS
100 VALLEY ROAD,07043,Montclair,N,C,,C,
100 WARREN PLACE,07042,Montclair,N,C,,C,
100 WILLOWDALE AVENUE 07042,,Montclair,N,C,,C,
100 Wildwood Avenue,07043,Montclair,N,C,,C,
100-6 WATCHUNG AVENUE,07043,Montclair,N,C,,C,
101 BEVERLY ROAD,07043,Montclair,N,C,,C,
101 Bellevue Avenue,07043,Montclair,Y,C,,G,
101 Buckingham Road,07043,Montclair,N,C,,C,
101 CLAREWILL AVENUE,07043,Montclair,N,C,,C,
101 COOPER AVENUE,07043,Montclair,N,C,,C,
101 Clinton Avenue,07042,Montclair,N,C,,C,
101 ELM STREET,07042,Montclair,N,C,,C,
101 ESSEX AVENUE,07042,Montclair,N,C,,C,
101 GATES AVENUE,07042,Montclair,N,C,,C,
101 GREENWOOD AVENUE,07042,Montclair,N,C,,C,
101 Glenridge Avenue,07042,Montclair,Y,C,,UX,
101 Gordonhurst Avenue,07043,Montclair,N,C,,C,
101 HADDON PLACE,07043,Montclair,N,C,,C,
101 INWOOD AVENUE,07043,Montclair,N,C,,C,
101 LINCOLN STREET,07042,Montclair,N,C,,C,
101 Lorraine Avenue,07043,Montclair,N,C,,C,
101 Mount Hebron Road 1ST,07043,Montclair,N,C,,C,
101 Mount Hebron Road 2ND,07043,Montclair,N,C,,C,
101 N FULLERTON AVENUE,07042,Montclair,N,C,,C,
101 OVERLOOK ROAD,07043,Montclair,N,C,,C,
101 PARK STREET,07043,Montclair,N,C,,C,
101 Pleasant Avenue,07042,Montclair,N,C,,C,
101 S Mountain Avenue,07042,Montclair,N,C,,C,
101 STONEBRIDGE ROAD,07042,Montclair,N,C,,C,
101 SUMMIT AVENUE,07043,Montclair,N,C,,C,
101 Undercliff Road,07042,Montclair,Y,C,,G,
101 WILDWOOD AVENUE,07043,Montclair,N,C,,C,
101 WILLOWDALE AVENUE,07042,Montclair,N,C,,C,
101 YANTACAW BROOK ROAD,07043,Montclair,N,C,,C,
101-103 WALNUT STREET,07042,Montclair,N,C,,C,
101-A GROVE STREET,07043,Montclair,N,C,,C,
102 BUCKINGHAM ROAD,07043,Montclair,N,C,,C,
102 Bellevue Avenue,07043,Montclair,N,C,,C,
102 CLAREWILL AVENUE,07043,Montclair,N,C,,C,
102 Clinton Avenue,07042,Montclair,N,C,,C,
102 Cooper Avenue,07043,Montclair,N,C,,C,
102 Essex Avenue,07042,Montclair,Y,C,,O,Brass
102 GATES AVENUE,07042,Montclair,N,C,,C,
102 GORDONHURST AVENUE,07043,Montclair,N,C,,C,
102 HARRISON AVENUE,07042,Montclair,N,C,,C,
102 HIGH STREET,07042,Montclair,N,C,,C,
102 HIGHLAND AVENUE,07043,Montclair,N,C,,C,
102 Haddon Place,07043,Montclair,N,C,,C,
102 INWOOD AVENUE,07043,Montclair,N,C,,C,
102 LINCOLN STREET,07042,Montclair,N,C,,C,
102 LLOYD ROAD,07042,Montclair,N,C,,C,
102 Lorraine Avenue,07043,Montclair,N,C,,C,
102 MIDLAND AVENUE,07042,Montclair,N,C,,C,
102 Mount Hebron Road,07043,Montclair,N,C,,C,
102 N MOUNTAIN AVENUE,07042,Montclair,N,C,,C,
102 PARK STREET,07043,Montclair,N,C,,C,
102 PINE STREET,07042,Montclair,N,C,,C,
102 S Fullerton Avenue,07042,Montclair,Y,C,,G,
102 SQUIRE HILL ROAD,07043,Montclair,N,C,,C,
102 STONEBRIDGE ROAD,07042,Montclair,N,C,,C,
102 SUMMIT AVENUE,07043,Montclair,N,C,,C,
102 UPPER MOUNTAIN AVENUE,07042,Montclair,N,C,,C,
102 WILDWOOD AVENUE,07043,Montclair,N,C,,C,
102 YANTACAW BROOK ROAD,07043,Montclair,N,C,,C,
102-104 WALNUT STREET,07042,Montclair,N,C,,C,
103 BELLEVUE AVENUE,07043,Montclair,N,C,,C,
103 BEVERLY ROAD,07043,Montclair,N,C,,C,
103 Buckingham Road,07043,Montclair,N,C,,C,
103 CLAREMONT AVENUE,07042,Montclair,N,C,,C,
103 Chestnut Street,07042,Montclair,N,C,,C,
103 Essex Avenue,07042,Montclair,Y,C,,G,
103 FOREST STREET,07042,Montclair,N,C,,C,
103 GORDONHURST AVENUE,07043,Montclair,N,C,,C,
103 Glenridge Avenue,07042,Montclair,N,C,,C,
103 HADDON PLACE,07043,Montclair,N,C,,C,
103 LORRAINE AVENUE,07043,Montclair,N,C,,C,
103 Lincoln Street,07042,Montclair,Y,C,,UX,
103 MAPLE AVENUE,07042,Montclair,N,C,,C,
103 MIDLAND AVENUE,07042,Montclair,N,C,,C,
103 ORANGE ROAD,07042,Montclair,N,C,,C,
103 Overlook Road,07043,Montclair,N,C,,C,
103 PARK STREET,07043,Montclair,N,C,,C,
103 PINE STREET,07042,Montclair,N,C,,C,
103 SQUIRE HILL ROAD,07043,Montclair,N,C,,C,
103 SUMMIT AVENUE,07043,Montclair,N,C,,C,
103 UNDERCLIFF ROAD,07042,Montclair,N,C,,C,
103 WILDWOOD AVENUE,07043,Montclair,N,C,,C,
104 ALEXANDER AVENUE,07043,Montclair,N,C,,C,
104 BLOOMFIELD AVENUE,07042,Montclair,N,C,,C,
104 BUCKINGHAM ROAD,07043,Montclair,N,C,,C,
104 CLINTON AVENUE,07042,Montclair,N,C,,C,
104 ELM STREET,07042,Montclair,N,C,,C,
104 ESSEX AVENUE,07042,Montclair,N,C,,C,
104 GATES AVENUE,07042,Montclair,N,C,,C,
104 GORDONHURST AVENUE,07043,Montclair,N,C,,C,
104 HARRISON AVENUE,07042,Montclair,N,C,,C,
104 HIGH STREET,07042,Montclair,N,C,,C,
104 Haddon Place,07043,Montclair,Y,C,,L,
104 INWOOD AVENUE,07043,Montclair,N,C,,C,
104 LINCOLN STREET,07042,Montclair,N,C,,C,
104 LLEWELLYN ROAD,07042,Montclair,N,C,,C,
104 MIDLAND AVENUE,07042,Montclair,N,C,,C,
104 MONTCLAIR AVENUE,07043,Montclair,N,C,,C,
104 PARK STREET,07043,Montclair,N,C,,C,
104 PINE STREET,07042,Montclair,N,C,,C,
104 S FULLERTON AVENUE,07042,Montclair,N,C,,C,
104 SQUIRE HILL ROAD,07043,Montclair,N,C,,C,
104 Summit Avenue,07043,Montclair,N,C,,C,
104 VALLEY ROAD,07043,Montclair,N,C,,C,
104 Wildwood Avenue,07043,Montclair,N,C,,C,
105 ALEXANDER AVENUE,07043,Montclair,N,C,,C,
105 BELLEVUE AVENUE,07043,Montclair,N,C,,C,
105 BUCKINGHAM ROAD,07043,Montclair,N,C,,C,
105 CLAREWILL AVENUE,07043,Montclair,N,C,,C,
105 Chestnut Street,07042,Montclair,Y,C,,UX,
105 Clinton Avenue,07042,Montclair,Y,C,,G,
105 EAGLE ROCK WAY,07042,Montclair,N,C,,C,
105 ESSEX AVENUE,07042,Montclair,N,C,,C,
105 Edgemont Road,07042,Montclair,N,C,,C,
105 GLENRIDGE AVENUE,07042,Montclair,N,C,,C,
105 GROVE STREET,07043,Montclair,N,C,,C,
105 Inwood Avenue,07043,Montclair,N,C,,C,
105 LINCOLN STREET,07042,Montclair,N,C,,C,
105 Llewellyn Road,07042,Montclair,N,C,,C,
105 MAPLE AVENUE,07042,Montclair,N,C,,C,
105 MONTCLAIR AVENUE,07043,Montclair,N,C,,C,
105 Midland Avenue,07042,Montclair,N,C,,C,
105 N FULLERTON AVENUE,07042,Montclair,N,C,,C,
105 N MOUNTAIN AVENUE,07042,Montclair,N,C,,C,
105 ORANGE ROAD,07042,Montclair,N,C,,C,
105 PARK STREET,07043,Montclair,N,C,,C,
105 PINE STREET,07042,Montclair,N,C,,C,
105 SQUIRE HILL ROAD,07043,Montclair,N,C,,C,
105 STONEBRIDGE ROAD,07042,Montclair,N,C,,C,
105 Summit Avenue,07043,Montclair,N,C,,C,
105 Union Street,07042,Montclair,N,C,,C,
105 Upper Mountain Avenue,07042,Montclair,N,C,,C,
105 WILDWOOD AVENUE,07043,Montclair,N,C,,C,
105 WILLOWDALE AVENUE,07042,Montclair,N,C,,C,
105 YANTACAW BROOK ROAD,07043,Montclair,N,C,,C,
106 BUCKINGHAM ROAD,07043,Montclair,N,C,,C,
106 CLAREMONT AVENUE,07042,Montclair,N,C,,C,
106 COOPER AVENUE,07043,Montclair,N,C,,C,
106 Christopher Street,07043,Montclair,N,C,,C,
106 EDGEMONT ROAD,07042,Montclair,N,C,,C,
106 ESSEX AVENUE,07042,Montclair,N,C,,C,
106 FOREST STREET,07042,Montclair,N,C,,C,
106 GROVE STREET,07043,Montclair,N,C,,C,
106 Gates Avenue,07042,Montclair,Y,C,,UX,
106 HADDON PLACE,07043,Montclair,N,C,,C,
106 HARRISON AVENUE,07042,Montclair,N,C,,C,
106 HELLER WAY,07043,Montclair,N,C,,C,
106 HIGH STREET,07042,Montclair,N,C,,C,
106 HIGHLAND AVENUE,07043,Montclair,N,C,,C,
106 INWOOD AVENUE,07043,Montclair,N,C,,C,
106 LORRAINE AVENUE,07043,Montclair,N,C,,C,
106 MIDLAND AVENUE,07042,Montclair,N,C,,C,
106 MONTCLAIR AVENUE,07043,Montclair,N,C,,C,
106 N FULLERTON AVENUE,07042,Montclair,N,C,,C,
106 N MOUNTAIN AVENUE,07042,Montclair,N,C,,C,
106 PARK STREET,07043,Montclair,N,C,,C,
106 Pine Street,07042,Montclair,Y,C,,UX,
106 S FULLERTON AVENUE,07042,Montclair,N,C,,C,
106 SQUIRE HILL ROAD,07043,Montclair,N,C,,C,
106 SUMMIT AVENUE,07043,Montclair,N,C,,C,
106 WALNUT STREET,07042,Montclair,N,C,,C,
106 WILDWOOD AVENUE,07043,Montclair,N,C,,C,
106 YANTACAW BROOK ROAD,07043,Montclair,N,C,,C,
107 BELLEVUE AVENUE,07043,Montclair,N,C,,C,
107 BUCKINGHAM ROAD,07043,Montclair,N,C,,C,
107 CLAREMONT AVENUE,07042,Montclair,N,C,,C,
107 CLINTON AVENUE,07042,Montclair,N,C,,C,
107 Chestnut Street,07042,Montclair,N,C,,C,
107 Christopher Street,07043,Montclair,N,C,,C,
107 ELM STREET,07042,Montclair,N,C,,C,
107 Essex Avenue,07042,Montclair,Y,C,,G,
107 FOREST STREET,07042,Montclair,N,C,,C,
107 GORDONHURST AVENUE,07043,Montclair,N,C,,C,
107 GROVE STREET,07043,Montclair,N,C,,C,
107 Heller Way,07043,Montclair,N,C,,C,
107 Inwood Avenue,07043,Montclair,N,C,,C,
107 LINCOLN STREET,07042,Montclair,N,C,,C,
107 MAPLE AVENUE,07042,Montclair,N,C,,C,
107 MIDLAND AVENUE,07042,Montclair,N,C,,C,
107 MONTCLAIR AVENUE,07043,Montclair,N,C,,C,
107 N FULLERTON AVENUE,07042,Montclair,N,C,,C,
107 PARK STREET,07043,Montclair,N,C,,C,
